speaker,word,phone,prev,post,voicing,start,end,VOT
S12,e ts_m y t e n,t,y,e,voiceless,18.41732722792089,18.437634505634772,0.0203072777138864
S12,a j t a j k i J,t,j,a,voiceless,22.331762015634045,22.345693708805673,0.01393169317162801
S12,m e t a,t,e,a,voiceless,23.11818952092916,23.128692073827047,0.01050255289788637
S12,i t e n,t,i,e,voiceless,23.3608005374885,23.375776399954,0.01497586246550142
S12,b a t e k,t,a,e,voiceless,25.711,25.72969292479301,0.0186929247930081
S12,e kh a r i,kh,e,a,voiceless,28.08397062166513,28.13,0.0460293783348682
S12,t a,t,<p:>,a,voiceless,29.344661128564855,29.362,0.01733887143514678
S12,i kh a s_a i k o,kh,i,a,voiceless,31.669967892877825,31.706309050703585,0.03634115782575975
S12,i kh a s_a i k o,k,i,o,voiceless,31.97049417824287,31.987,0.01650582175713211
S12,m e t a j n,t,e,a,voiceless,32.759606045768166,32.773,0.01339395423183731
S12,i t e n,t,i,e,voiceless,33.08335562028518,33.098914957911674,0.01555933762649175
