sgds_point,id,a' c[h]as,a' chas b[h]eag,leis an [t-]sùil,f[h]ir bhig,a' chathair b[h]eag,an f[h]ir bhig,na balaich b[h]eaga,an t-sùil g[h]las,fhir b[h]ig,an [t-]sùil,an fhir b[h]ig,le sùil g[h]lais,fh[i]r bhig,[na] mnatha,[na] sùla glaise,[na] coise bige,an fh[i]r bhig,na [c]oise bige,na casan beag[a],fhir bh[i]g,na [mnatha],na cathraichean beag[a],[na] bà,an fhir bh[i]g,[na] cathrach bige,na balaich bheag[a],na sùla [g]laise,na sùilean glas[a],na [bà],na c[oi]se bige,na coise b[i]ge,nam [fear] beaga,na coise [b]ige,leis a' cho[i]s bhig,na cois[e] bige,don [bhoin],na cathrach b[i]ge,don [mhnaoi],na coise big[e],le c[oi]s bhig,na sùl[a] glaise,leis a' chois bh[i]g,leis an t-sùil g[h]lais,an [z]ùil ghlas,dà mhnaoi mhò[i]r,dà mhnaoi m[h]òir,le cois bh[i]g,na sùla gla[i]se,le sùil gla[i]s,leis an t-sùil ghla[i]s,na [cathrach] bige,na [sùla] glaise,dà [mhnaoi],nan [cas] beaga,nan [sùl] glas,district,township,census_point,1891_total,1891_gaelic,1891_g_pct,1891_mono,1891_mono_pct,lat,lon,gender,yob,orig_lon,orig_lat,fem_gender,aggregate,label_for_conservatism
Lochcarron,116,1,1,1,1,1,1,0,1,1,1,1,NA,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,NA,0,0,0,0,0,0,Wester Ross,Lochcarron,Lochcarron,384,332,87,48,0.14,57.402203,-5.504865,m,1896,-5.504865,57.402203,FALSE,19,NA
Milton (Applecross),117,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Wester Ross,Milton (Applecross),Milton (Applecross),253,227,90,60,0.26,57.421656,-5.8072284,m,1883,-5.8072284,57.421656,FALSE,25,NA
Shieldaig,118,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Wester Ross,Shieldaig,Shieldaig,201,181,90,29,0.16,57.515028,-5.6242134,f,1883,-5.6242134,57.515028,TRUE,17,NA
Inveralligin,119,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Wester Ross,Inveralligin,Inveralligin,335,291,87,115,0.4,57.551345,-5.6117864,m,1913,-5.6117864,57.551345,FALSE,21,NA
Kinlochewe,120,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Wester Ross,Kinlochewe,Kinlochewe,116,104,90,15,0.14,57.604421,-5.315622,m,1881,-5.315622,57.604421,FALSE,19,NA
Badachro,121,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Gairloch,Badachro,Badachro,342,307,90,72,0.23,57.691855,-5.7265046,m,1893,-5.7265046,57.691855,FALSE,32,NA
Melvaig,122,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Gairloch,Melvaig,Melvaig,320,311,97,218,0.7,57.806374,-5.8056924,f,1881,-5.8056924,57.806374,TRUE,21,NA
Cove,123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,Wester Ross,Cove,Cove,188,183,97,57,0.31,57.845215,-5.7086311,f,1891,-5.7086311,57.845215,TRUE,27,NA
Aultbea,124,1,1,1,1,NA,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,NA,0,1,NA,1,0,1,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,1,1,NA,NA,1,0,0,0,NA,0,NA,0,0,Wester Ross,Aultbea,Aultbea,145,131,90,22,0.17,57.839639,-5.5900588,f,1888,-5.5900588,57.839639,TRUE,21,NA
Badbea,125,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Wester Ross,Badbea,Badcall & Ardessie,322,308,96,89,0.29,57.862084,-5.3275006,m,1878,-5.3275006,57.862084,FALSE,24,NA
