subject,trial,Condition,Age,pupil_max
5,74,Dense,YA,1010.14
5,75,Dense,YA,764.96
5,76,Sparse,YA,796.980000000001
5,77,Dense,YA,142.1
5,78,Sparse,YA,81.0999999999998
5,79,Dense,YA,306.319999999999
5,80,Dense,YA,78.0400000000002
6,1,Dense,YA,810.313918128655
6,2,Dense,YA,336.62
6,3,Dense,YA,667.587234042554
6,4,Dense,YA,174.527620935766
6,5,Sparse,YA,945.48
6,6,Dense,YA,390.72
6,7,Sparse,YA,674.84
6,8,Dense,YA,275.48
6,9,Dense,YA,213.459999999999
6,10,Sparse,YA,819.16
6,11,Sparse,YA,174.844422110552
6,12,Sparse,YA,333.380000000001
6,13,Sparse,YA,11.32
6,14,Sparse,YA,86.6666666666663
6,15,Sparse,YA,376.74
6,16,Dense,YA,199.96
6,17,Dense,YA,96.0573770491802
6,18,Dense,YA,223.068704663212
6,19,Dense,YA,599.3
6,20,Sparse,YA,513.2
6,21,Dense,YA,91.9799999999997
6,22,Dense,YA,379.88
6,23,Sparse,YA,94.1889466484274
6,24,Sparse,YA,553.9
6,25,Sparse,YA,293.431269035532
6,26,Sparse,YA,783.08
6,27,Sparse,YA,434.713631840796
6,28,Dense,YA,181
6,29,Dense,YA,257.34
6,30,Dense,YA,42.2470899470905
6,31,Sparse,YA,543.06
6,32,Sparse,YA,69.3814432989689
6,33,Dense,YA,600.64
6,34,Sparse,YA,235.111557788945
6,35,Dense,YA,675.619999999999
6,36,Sparse,YA,788.86
6,37,Sparse,YA,185.324608294931
6,38,Sparse,YA,1027.86
6,39,Dense,YA,42.3636423190294
6,40,Dense,YA,356.902626262626
6,41,Dense,YA,519.346666666667
6,42,Sparse,YA,531.76
6,43,Sparse,YA,13.6200000000003
6,44,Sparse,YA,123.275440414508
6,45,Dense,YA,26.721507537688
6,46,Sparse,YA,977.76
6,47,Sparse,YA,381.597
6,48,Dense,YA,594.72
6,49,Sparse,YA,680.8
6,50,Sparse,YA,136.3
6,51,Sparse,YA,568.171
6,52,Dense,YA,447.16
6,53,Dense,YA,606.930208333334
6,54,Sparse,YA,203.063469387755
6,55,Dense,YA,222.325714285715
6,56,Sparse,YA,378.18077294686
6,57,Dense,YA,421.82
6,58,Dense,YA,42.1487179487175
6,59,Sparse,YA,91.1900000000003
6,60,Sparse,YA,78.8
6,62,Sparse,YA,234.207692307692
6,63,Sparse,YA,511.614711538461
6,64,Dense,YA,72.234375
6,65,Sparse,YA,704.02
6,66,Sparse,YA,296.86
6,67,Dense,YA,416.28
6,68,Dense,YA,1087.81832663948
6,69,Sparse,YA,262.605957446808
6,70,Dense,YA,52.3105583756343
6,71,Dense,YA,512.38
6,72,Dense,YA,8.08571004159239
6,73,Dense,YA,254.585959595959
6,74,Dense,YA,115.26
6,75,Sparse,YA,122.380000000001
6,76,Sparse,YA,15.1199999999998
6,77,Dense,YA,97.6207070707078
6,78,Sparse,YA,805.233905579398
6,79,Dense,YA,45.6799999999987
6,80,Dense,YA,413.628888888889
7,1,Sparse,YA,265.269054726368
7,2,Sparse,YA,37.4550000000003
