id,place_etym,context,prev_sound,sound_etym,next_sound,letter,category,freqGO,freqLUB,loan,page,frequency,manner,lexeme,form,spelling,frequency_class
31359,laminal,#_,&,z,o,z,content,79.39,60.27,no,397,0.470171935096234,fricative,joan,#z#oaz,ConSpell,high
31360,apical,_C,i,s,t,s,content,0.22,7.09,old,397,-0.998455435715253,fricative,kristau,chri#s#taua,ConSpell,mid
31362,laminal,_V,ei,z,a,z,content,1.01,8.51,old,397,-0.618341195605193,fricative,eliza,elei#z#ara,ConSpell,mid
31364,laminal,_C,e,z,t,z,grammatical,304.64,216.96,no,398,0.805562756089495,fricative,ez,E#z#tta,ConSpell,high
31365,apical,_V,o,s,i,s,content,1.2,5.67,yes,398,-0.575350774618759,fricative,posible,po#s#ible,ConSpell,mid
31366,apical,_V,e,s,a,z,content,164.23,52.47,no,398,0.651464039031931,fricative,esan,e#z#atea,InnSpell,high
31371,laminal,#_,&,z,u,z,grammatical,73.3,243.9,no,398,0.450266390204953,fricative,zu,#z#ure,ConSpell,high
31372,laminal,_V,e,z,a,z,content,7.94,80.12,no,398,-0.104075229492683,fricative,ezagutu,e#z#aguturic,ConSpell,mid
31374,laminal,_C,u,z,k,z,grammatical,805,302.75,no,398,1.04791345786226,fricative,edun,zadu#z#ca,ConSpell,high
31375,laminal,#_,&,z,a,z,grammatical,805,302.75,no,398,1.04791345786226,fricative,edun,#z#aduzca,ConSpell,high
31376,laminal,_V,a,z,u,z,grammatical,805,166.62,no,398,1.04791345786226,fricative,ezan,eza#z#u,ConSpell,high
31377,laminal,_V,e,z,a,z,grammatical,805,166.62,no,398,1.04791345786226,fricative,ezan,e#z#azu,ConSpell,high
31378,apical,#_,&,s,a,s,content,0.81,14.18,yes,398,-0.673377961210994,fricative,santu,#s#antua,ConSpell,mid
31379,apical,_C,e,s,p,s,content,0.09,2.13,yes,398,-1.22137899250768,fricative,espiritu,E#s#piritu,ConSpell,mid
31380,apical,#_,&,s,e,s,content,0.09,1.42,yes,398,-1.22137899250768,fricative,sententzia,#s#entencia,ConSpell,mid
31381,laminal,_V,n,z/tz,i,c,content,0.09,1.42,yes,398,-1.22137899250768,affricate,sententzia,senten#c#ia,ConSpell,mid
31382,laminal,_C,e,z,t,s,grammatical,304.64,216.96,no,398,0.805562756089495,fricative,ez,e#s#tta,InnSpell,high
31387,apical,#_,&,s,e,s,content,5.83,3.55,no,399,-0.181115819222606,fricative,seme,#s#emea,ConSpell,mid
31388,laminal,_V,e,z,e,z,content,0.01,0.71,yes,399,-1.76938002380436,fricative,Ezekiel,E#z#equiel,ConSpell,low
31391,laminal,_V,i,z,a,z,grammatical,677.35,674.99,no,399,1.00485247356585,fricative,izan,i#z#ango,ConSpell,high
31392,laminal,_C,ai,z,t,s,content,1.86,13.47,no,399,-0.466047357663406,fricative,gaizto,gai#s#toago,InnSpell,mid
31393,laminal,_V,a,tz,e,c,grammatical,0.73,0.71,no,399,-0.699313621517739,affricate,ukatu,uca#c#en,ConSpell,mid
31395,apical,_V,a,s,o,z,content,1.28,0.71,no,399,-0.559254479089137,fricative,guraso,gura#z#o,InnSpell,mid
31396,laminal,_C,e,z,t,s,grammatical,304.64,216.96,no,399,0.805562756089495,fricative,ez,e#s#tevanac,InnSpell,high
31398,laminal,_V,a,z,i,z,content,0.53,0.71,no,399,-0.779165329495251,fricative,azi,a#z#i,ConSpell,mid
31400,laminal,_#,e,z,&,s,grammatical,164.23,52.47,no,399,0.651464039031931,fricative,esan,ezatte#s#,InnSpell,high
31401,apical,_V,e,s,a,z,content,164.23,52.47,no,399,0.651464039031931,fricative,esan,e#z#attes,InnSpell,high
