word_string,word_type,word_gender,word_represents_animate,word_num_letters,word_frequency,concreteness_n,concreteness_mean,concreteness_median,concreteness_stddev,concreteness_min,concreteness_max,subjective_frequency_n,subjective_frequency_mean,subjective_frequency_median,subjective_frequency_stddev,subjective_frequency_min,subjective_frequency_max,imageability_n,imageability_mean,imageability_median,imageability_stddev,imageability_min,imageability_max,age_of_acquisition_n,age_of_acquisition_mean,age_of_acquisition_median,age_of_acquisition_stddev,age_of_acquisition_min,age_of_acquisition_max,rt_milliseconds_mean,rt_milliseconds_median,rt_milliseconds_stddev,rt_milliseconds_min,rt_milliseconds_max,rt_milliseconds_n
stan,Nc,m,inanimate,4,273375,30,4.86666666667,5,0.426874949162,3,5,30,4.46666666667,5,0.669991708075,3,5,30,4.73333333333,5,0.679869268479,2,5,30,5.36666666667,5,2.44244868023,0,13,558.829268292683,494,235.90229995053295,375,1872,41
farsa,Nc,f,inanimate,5,5645,29,2.13793103448,2,1.1363625554,1,5,30,1.9,2,0.746100976187,1,4,30,2.73333333333,3,1.23648246607,1,5,30,11.2666666667,12,4.62553300232,0,20,757.7692307692307,702,225.26703002839488,480,1669,39
povjerenik,Nc,m,animate,10,26703,30,3.16666666667,3,1.06718737291,2,5,30,1.93333333333,2,0.771722460186,1,3,30,2.73333333333,3,1.23648246607,1,5,30,11.3666666667,12,4.2385794266,0,18,742.952380952381,561,638.5602308387415,336,4432,42
kvota,Nc,f,inanimate,5,15636,29,2.8275862069,2,1.28838218567,1,5,30,2.7,3,0.82259751195,1,4,30,3.13333333333,3,1.49962958389,1,5,30,10.9,11.5,4.10162569396,0,18,656.1904761904761,603.5,226.28713015312744,433,1705,42
intuicija,Nc,f,inanimate,9,8212,30,1.73333333333,1,0.99777530314,1,5,30,3.76666666667,4,0.955103252126,2,5,30,2.7,3,1.15902257671,1,5,30,10.3,10,3.65285276645,0,18,803.325,644,412.0373014916402,425,2043,40
ulica,Nc,f,inanimate,5,261997,30,4.8,5,0.791622805803,1,5,30,4.83333333333,5,0.37267799625,4,5,30,4.63333333333,5,0.91226214556,1,5,30,5.03333333333,5,2.61385198935,1,16,523.9047619047619,486,190.34407991124652,354,1546,42
dalekovod,Nc,m,inanimate,9,7507,30,4.56666666667,5,0.760847480701,2,5,30,2.53333333333,3,1.11753697428,1,5,30,3.93333333333,4,1.18133634311,1,5,30,9.63333333333,10,3.67408340799,0,19,633.975,592,187.63500951280867,447,1574,40
degustacija,Nc,f,inanimate,11,5930,29,3.58620689655,3,0.965517241379,2,5,29,2.8275862069,3,1.05271293258,1,5,30,3.86666666667,4,1.20369800568,1,5,30,10.2333333333,10,3.48026180369,0,16,791.825,702,494.6223572404014,453,3502,40
izlagač,Nc,m,animate,7,14965,30,3.9,4,1.0115993937,1,5,30,3.1,3,1.19303534454,1,5,30,3.46666666667,4,1.33499895963,1,5,30,9.73333333333,9.5,3.61416964491,0,16,737.2857142857143,561,758.97904099453865,425,5420,42
agnostik,Nc,m,animate,8,4400,30,2.23333333333,2,1.08576649833,1,5,30,2.2,2,1.01324561024,1,5,30,3.06666666667,3,1.45907124188,1,5,30,11.8,12,4.03650013419,0,20,679.125,640,178.7614349937526,404,1172,40
penjanje,Nc,n,inanimate,8,8677,30,4.76666666667,5,0.615539510421,2,5,30,3.93333333333,4,0.771722460186,2,5,30,4.53333333333,5,0.95684667296,2,5,30,4.76666666667,5,2.0278614899,0,11,670.5384615384615,623,196.39659742923595,374,1164,39
krik,Nc,m,inanimate,4,6426,30,4.43333333333,5,0.667499479817,3,5,30,2.93333333333,3,1.12348663642,1,5,30,4.16666666667,5,1.06718737291,2,5,30,6.33333333333,6,2.8323527715,0,12,638.775,576,198.7173598419728,432,1316,40
padina,Nc,f,inanimate,6,7500,30,4.46666666667,5,0.669991708075,3,5,30,2.8,3,1.19443152448,1,5,30,3.96666666667,4,1.1685698762,1,5,30,7.06666666667,7,2.87440815164,0,12,739.875,677,260.9539882323299,455,1611,40
pobjednik,Nc,m,animate,9,86397,30,4.23333333333,5,1.08576649833,1,5,30,3.7,4,0.82259751195,2,5,30,4.1,4.5,1.22065556157,1,5,30,5.53333333333,5,2.15612821717,1,10,531.1190476190476,494,142.31178453867776,369,1037,42
zapažanje,Nc,n,inanimate,9,6014,30,2.53333333333,2.5,0.991071249821,1,4,30,3.6,4,0.879393730552,2,5,30,3,3,1.09544511501,1,5,30,8.13333333333,8,3.37375491437,0,14,690.4146341463414,599,351.1012657061888,384,2523,41
suradnja,Nc,f,inanimate,8,291953,30,3.26666666667,3,0.963788819653,1,5,30,3.9,4,0.830662386292,2,5,30,3.63333333333,4,1.1967548714,1,5,30,7.96666666667,8,2.85754362269,0,15,610.047619047619,524.5,221.96010983968822,368,1449,42
šahist,Nc,m,animate,6,3487,30,4.6,5,0.553774924195,3,5,30,2.3,2,1.03762549442,1,5,30,4.43333333333,5,0.843932593411,2,5,30,8.3,8,3.32816265628,3,18,658.6829268292682,589,185.50208071938036,432,1323,41
hlađenje,Nc,n,inanimate,8,16289,30,3.83333333333,4,1.00277393043,1,5,30,3.73333333333,4,0.813770374382,2,5,30,4.3,5,0.971253485622,1,5,30,5.7,5.5,2.46508958593,0,12,555.5238095238095,515,134.18284541865162,399,998,42
remen,Nc,m,inanimate,5,12698,30,4.83333333333,5,0.636832439151,2,5,30,3.96666666667,4,0.835995746932,2,5,30,4.63333333333,5,0.948097510222,1,5,30,5.8,6,2.90287214094,1,16,671.9512195121952,549,530.239424751664,423,3772,41
kilogram,Nc,m,inanimate,8,60221,30,3.9,4,1.04403065089,1,5,30,4.23333333333,4,0.715697018453,3,5,30,4.13333333333,5,1.17567947257,1,5,30,7.03333333333,7,2.13671606807,3,12,564.4285714285714,524.5,143.9810527604482,416,1224,42
natječaj,Nc,m,inanimate,8,135725,30,4.06666666667,4,0.891939210684,2,5,30,3.16666666667,3,0.81989159175,2,5,30,3.93333333333,4,0.891939210684,2,5,30,10.0333333333,10,3.49745939536,3,15,584.1428571428571,532,160.37221513329416,400,1149,42
prosjak,Nc,m,animate,7,4328,30,4.7,5,0.525991127935,3,5,30,3.16666666667,3,0.897527467856,1,5,30,4.73333333333,5,0.813770374382,1,5,30,6.8,6,2.52190404258,3,15,674.5952380952381,592.5,441.189857893944,365,3306,42
